06-10-2022 22:32:32.852 [main] INFO  c.t.elk.SpringbootElkApplication.logStarting - Starting SpringbootElkApplication using Java 17.0.3 on baghyeongmin-ui-MacBookAir.local with PID 15493 (/Users/parkhyungmin/git/springboot-pack/springboot-elk/build/classes/java/main started by parkhyungmin in /Users/parkhyungmin/git/springboot-pack/springboot-elk)
06-10-2022 22:32:32.863 [main] INFO  c.t.elk.SpringbootElkApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
06-10-2022 22:33:37.230 [main] INFO  c.t.elk.SpringbootElkApplication.logStarting - Starting SpringbootElkApplication using Java 17.0.3 on baghyeongmin-ui-MacBookAir.local with PID 15518 (/Users/parkhyungmin/git/springboot-pack/springboot-elk/build/classes/java/main started by parkhyungmin in /Users/parkhyungmin/git/springboot-pack/springboot-elk)
06-10-2022 22:33:37.232 [main] INFO  c.t.elk.SpringbootElkApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
06-10-2022 22:33:38.172 [main] INFO  c.t.elk.SpringbootElkApplication.logStarted - Started SpringbootElkApplication in 1.182 seconds (JVM running for 1.354)
06-10-2022 22:34:48.749 [main] INFO  c.t.elk.SpringbootElkApplication.logStarting - Starting SpringbootElkApplication using Java 17.0.3 on baghyeongmin-ui-MacBookAir.local with PID 15553 (/Users/parkhyungmin/git/springboot-pack/springboot-elk/build/classes/java/main started by parkhyungmin in /Users/parkhyungmin/git/springboot-pack/springboot-elk)
06-10-2022 22:34:48.750 [main] INFO  c.t.elk.SpringbootElkApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
06-10-2022 22:34:49.687 [main] INFO  c.t.elk.SpringbootElkApplication.logStarted - Started SpringbootElkApplication in 1.155 seconds (JVM running for 1.316)
06-10-2022 22:44:25.429 [main] INFO  c.t.elk.SpringbootElkApplication.logStarting - Starting SpringbootElkApplication using Java 17.0.3 on baghyeongmin-ui-MacBookAir.local with PID 17893 (/Users/parkhyungmin/git/springboot-pack/springboot-elk/build/classes/java/main started by parkhyungmin in /Users/parkhyungmin/git/springboot-pack/springboot-elk)
06-10-2022 22:44:25.431 [main] INFO  c.t.elk.SpringbootElkApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
06-10-2022 22:44:26.471 [main] INFO  c.t.elk.SpringbootElkApplication.logStarted - Started SpringbootElkApplication in 1.323 seconds (JVM running for 1.577)
06-10-2022 22:47:40.161 [main] INFO  c.t.elk.SpringbootElkApplication.logStarting - Starting SpringbootElkApplication using Java 17.0.3 on baghyeongmin-ui-MacBookAir.local with PID 18711 (/Users/parkhyungmin/git/springboot-pack/springboot-elk/build/classes/java/main started by parkhyungmin in /Users/parkhyungmin/git/springboot-pack/springboot-elk)
06-10-2022 22:47:40.165 [main] INFO  c.t.elk.SpringbootElkApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
06-10-2022 22:47:41.197 [main] INFO  c.t.elk.SpringbootElkApplication.logStarted - Started SpringbootElkApplication in 1.299 seconds (JVM running for 1.525)
